"Variables","VIF"
"PCL_MAN",5.17669488067536
"PCL_SE1",2.39154627842882
"PCL_SE3",1.62661123023518
"PCM_BFP",4.43141949452829
"PCM_PAS",4.05740452908345
"PCM_TD",4.15248489718247
"PLC_HRB",1.41097890212245
"PLC_TRE",2.64109858109529
"PSL_BDR",2.11936482209829
"PSL_CAR",7.16951939407178
"PSL_SND",1.39347011351549
"PSL_TUS",1.25417105203044
"PTP_RLV",1.3158493276543
"PTP_SLP",2.07321389638008
"PTP_WET",1.54006777201339
"PTP_ASP",1.34123292252062
"PTP_SOL",1.57115499690778
"PSW_DIS",1.12790154066943
"PSW_OCC",1.04843656297912
