"","Sample","Classified","n"
"1","10_S118","C",93122
"2","10_S118","U",1154498
"3","12_S119","C",80591
"4","12_S119","U",886039
"5","14_S97","C",97269
"6","14_S97","U",584042
"7","15_S120","C",95540
"8","15_S120","U",540677
"9","17_S99","C",559780
"10","17_S99","U",367249
"11","18_S121","C",741813
"12","18_S121","U",762085
"13","19_S122","C",201449
"14","19_S122","U",587096
"15","20_S100","C",74629
"16","20_S100","U",649637
"17","21_S101","C",45120
"18","21_S101","U",558381
"19","22_S102","C",52
"20","22_S102","U",484
"21","23_S123","C",103325
"22","23_S123","U",494215
"23","24_S103","C",18647
"24","24_S103","U",76819
"25","25_S104","C",79719
"26","25_S104","U",389987
"27","26_S105","C",548960
"28","26_S105","U",2886768
"29","27_S106","C",83274
"30","27_S106","U",377013
"31","28_S107","C",103371
"32","28_S107","U",473474
"33","29_S108","C",466772
"34","29_S108","U",1754793
"35","3_S117","C",23508
"36","3_S117","U",147653
"37","30_S109","C",477477
"38","30_S109","U",930088
"39","31_S124","C",354822
"40","31_S124","U",3010083
"41","32_S110","C",194756
"42","32_S110","U",1055370
"43","33_S127","C",244
"44","33_S127","U",1920
"45","35_S128","C",278345
"46","35_S128","U",1395530
"47","36_S112","C",95038
"48","36_S112","U",1910064
"49","38_S113","C",197952
"50","38_S113","U",945691
"51","39_S114","C",148338
"52","39_S114","U",1112223
"53","4_S93","C",233029
"54","4_S93","U",1170316
"55","40_S125","C",879862
"56","40_S125","U",1914105
"57","41_S126","C",731877
"58","41_S126","U",1753010
"59","42_S134","C",93898
"60","42_S134","U",847554
"61","43_S115","C",181522
"62","43_S115","U",1617209
"63","44_S116","C",325809
"64","44_S116","U",2938294
"65","45_S135","C",135
"66","45_S135","U",740
"67","46_S136","C",1009684
"68","46_S136","U",1471212
"69","49_S129","C",82645
"70","49_S129","U",443639
"71","51_S130","C",75394
"72","51_S130","U",349717
"73","52_S137","C",184549
"74","52_S137","U",693659
"75","54_S138","C",59950
"76","54_S138","U",226728
"77","55_S131","C",682332
"78","55_S131","U",1360163
"79","56_S139","C",296708
"80","56_S139","U",612555
"81","6_S95","C",97918
"82","6_S95","U",641651
"83","60_S132","C",276100
"84","60_S132","U",864062
"85","65_S133","C",191276
"86","65_S133","U",1384057
"87","9_S98","C",115937
"88","9_S98","U",474758
