family,species,First_7484,Peak_7484,Last_7484,Duration_7484,First_7412,Peak_7412,Last_7412,Duration7412
Asteraceae ,Achillea millefolium,196,226,243,46.8,201,223,247,51.8
Ranunculaceae ,Aconitum columbianum,198,211,232,33.6,195,209,228,37.9
Rosaceae ,Amelanchier pumila,169,176,194,24.8,163,170,183,24.8
Crassulaceae ,Amerosedum lanceolatum,196,204,235,21.6,192,199,213,27
Primulaceae ,Androsace septentrionalis,165,175,226,67.8,150,168,225,83.3
Melanthiaceae ,Anticlea elegans,193,205,222,28.7,189,201,215,31.3
Brassicaceae ,Arabis drummondii,169,178,213,41.1,161,174,216,59.7
Caryophyllaceae ,Arenaria congesta,188,206,231,51.4,184,199,236,59.3
Campanulaceae ,Campanula rotundifolia,205,223,241,36.1,207,219,237,36.2
Brassicaceae ,Cardamine cordifolia,187,193,194,17,175,183,195,26.3
Orobanchaceae ,Castilleja sulphurea,192,204,224,31.7,187,202,219,37
Montiaceae ,Claytonia lanceolata,146,156,171,27.3,136,147,163,34.2
Caryophyllaceae ,Collomia linearis,195,200,234,39,190,205,239,55
Ranunculaceae ,Delphinium barbeyi,192,208,232,40.8,188,204,225,42.3
Ranunculaceae ,Delphinium nuttallianum,163,174,178,27.3,156,169,183,32.4
Brassicaceae ,Descurainia richardsonii,204,212,251,31,193,202,220,37
Primulaceae ,Dodecatheon pulchellum,179,186,196,16.3,174,180,189,19.9
Brassicaceae ,Draba aurea,170,181,210,39.6,162,177,207,49.7
Asteraceae ,Dugaldia hoopesii,195,213,235,40.1,188,209,234,51.5
Asteraceae ,Erigeron flagellaris,193,207,215,46.8,183,200,233,58.6
Asteraceae ,Erigeron speciosus,200,222,251,50.7,193,216,242,54.8
Polygonaceae ,Eriogonum subalpinum,185,198,214,28.9,181,192,206,30.9
Polygonaceae ,Eriogonum umbellatum,176,190,234,58.6,171,184,214,47.8
Brassicaceae ,Erysimum asperum,179,188,199,24.7,176,186,202,31.6
Liliaceae ,Erythronium grandiflorum,155,161,167,13.7,148,153,161,18.8
Rosaceae ,Fragaria virginiana,169,174,184,15.5,164,169,184,24.3
Rubiaceae ,Galium boreale,201,223,242,41.3,199,217,234,40.3
Gentianaceae ,Gentiana parryi,235,242,251,15.6,231,238,246,22.7
Geraniaceae ,Geranium richardsonii,189,208,239,41.8,183,203,227,48.6
Asteraceae ,Helianthella quinquenervis,200,210,225,24.9,195,207,223,33.3
Asteraceae ,Heliomeris multiflora,214,229,251,36.5,217,231,245,34.3
Apiaceae ,Heracleum maximum,204,212,224,20,190,203,218,34.9
Asteraceae ,Heterotheca villosa,198,222,218,53.1,193,219,254,67.4
Boraginaceae ,Hydrophyllum capitatum,162,171,178,17.9,154,163,171,22.2
Boraginaceae ,Hydrophyllum fendleri,178,185,237,18.6,177,183,193,21.9
Fabaceae ,Lathyrus leucanthus,173,184,214,41.1,164,179,207,47.9
Apiaceae ,Ligularia bigelovii,213,223,238,24.7,208,219,233,30.8
Apiaceae ,Ligusticum porterii,188,200,240,27.5,182,194,208,32.6
Linaceae ,Linum lewisii,193,202,231,38.1,186,199,230,50.1
Apiaceae ,Lomatium dissectum,169,170,190,15.3,155,162,169,20.3
Fabaceae ,Lupinus sericeaus,181,190,198,28.1,178,189,208,35.4
Berberidaceae ,Mahonia repens,160,168,175,18.1,152,159,169,23.9
Asparagaceae ,Maianthemum stellatum,182,184,203,8.8,176,178,184,14.1
Boraginaceae ,Mertensia ciliata,178,193,224,46.5,175,190,215,43.8
Boraginaceae ,Mertensia fusiformis,151,164,185,37.7,142,157,178,43
Brassicaceae ,Noccaea montana,157,165,179,25.4,149,159,176,33.2
Asteraceae ,Oreochrysum parryi,213,224,239,26.1,207,218,234,33.1
Orobanchaceae ,Pedicularis bracteoasa,182,187,191,17,176,183,194,26.6
Rosaceae ,Potentilla gracilis,182,208,209,55.7,178,202,234,61.8
Rosaceae ,Potentilla hippiana,187,215,240,53,178,203,231,59.1
Apiaceae ,Pseudocymopterus montanus,163,179,210,47.2,163,181,206,49.6
Asteraceae ,Pyrrocoma crocea,210,218,232,21.4,202,211,224,27.7
Ranunculaceae ,Ranunculus inamoenus,163,170,192,33,153,164,200,54.2
Crassulaceae ,Sedum rosea,178,184,203,15.7,175,180,188,19.9
Asteraceae ,Senecio integerrimus,169,179,193,23.6,166,175,188,27.3
Asteraceae ,Taraxacum officionale,161,174,177,60.9,152,168,215,68.2
Caprifoliaceae ,Valeriana capitata,165,176,203,41.4,157,172,198,47.5
Caprifoliaceae ,Valeriana edulis,181,200,239,59,170,194,230,65.3
Fabaceae ,Vicia americana,183,198,223,39.7,181,194,218,42.6
Violaceae ,Viola praemorsa,161,167,217,19,153,161,172,25.7
